alpha,poly,rscore
0.000000,2,0.089517598263
0.000000,3,0.0818715686804
0.000000,4,0.091948574373
0.000000,5,0.627568222951
0.000000,6,0.627761375715
0.000000,7,0.793489136013
0.000000,8,0.791472491032
0.000000,9,0.795733317639
0.000000,10,0.803976542797
1.000000,2,0.0811748743532
1.000000,3,0.064733052248
1.000000,4,0.0590923672254
1.000000,5,0.607193703665
1.000000,6,0.607241666022
1.000000,7,0.819834373761
1.000000,8,0.797286647971
1.000000,9,0.793974913255
1.000000,10,0.810103768285
2.000000,2,0.073164264919
2.000000,3,0.0530606244854
2.000000,4,0.0433996686283
2.000000,5,0.593012734998
2.000000,6,0.591232539468
2.000000,7,0.831061787513
2.000000,8,0.800507594774
2.000000,9,0.796817985723
2.000000,10,0.813284691551
3.000000,2,0.0662584286233
3.000000,3,0.0457037778515
3.000000,4,0.0344455183098
3.000000,5,0.577106386796
3.000000,6,0.565445959943
3.000000,7,0.835715660471
3.000000,8,0.802364690643
3.000000,9,0.800498361103
3.000000,10,0.815816337534
4.000000,2,0.0611796485874
4.000000,3,0.0406339919252
4.000000,4,0.0286686523523
4.000000,5,0.556980023008
4.000000,6,0.543246586703
4.000000,7,0.837868510102
4.000000,8,0.804544806341
4.000000,9,0.804181892013
4.000000,10,0.816575603914
5.000000,2,0.0572892011193
5.000000,3,0.0369221205176
5.000000,4,0.0246403547994
5.000000,5,0.539517379797
5.000000,6,0.525597459422
5.000000,7,0.836874844693
5.000000,8,0.806931814417
5.000000,9,0.806810186187
5.000000,10,0.814782892839
6.000000,2,0.0540262391397
6.000000,3,0.0340824805058
6.000000,4,0.021676167555
6.000000,5,0.522731692962
6.000000,6,0.511158040025
6.000000,7,0.83594601421
6.000000,8,0.809414704739
6.000000,9,0.809429659205
6.000000,10,0.810911835172
7.000000,2,0.0510765201935
7.000000,3,0.0318364776205
7.000000,4,0.0194071782359
7.000000,5,0.506732231064
7.000000,6,0.499094094947
7.000000,7,0.835065972251
7.000000,8,0.811932667845
7.000000,9,0.811985539942
7.000000,10,0.807124724279
8.000000,2,0.0486422233815
8.000000,3,0.0300128581009
8.000000,4,0.0176170239632
8.000000,5,0.492439306505
8.000000,6,0.488848129021
8.000000,7,0.834224230735
8.000000,8,0.814233066591
8.000000,9,0.812864479977
8.000000,10,0.801456752604
9.000000,2,0.0466004258093
9.000000,3,0.028500549399
9.000000,4,0.0161704630874
9.000000,5,0.479587673944
9.000000,6,0.480029197812
9.000000,7,0.833413541363
9.000000,8,0.814505929421
9.000000,9,0.812455517796
9.000000,10,0.79547694046
10.000000,2,0.0448644071541
10.000000,3,0.0272243558097
10.000000,4,0.014978639508
10.000000,5,0.467966151341
10.000000,6,0.47235326581
10.000000,7,0.832628793205
10.000000,8,0.814852935339
10.000000,9,0.812099070915
10.000000,10,0.790533826927
11.000000,2,0.0433712359866
11.000000,3,0.0261315524901
11.000000,4,0.0139807841526
11.000000,5,0.457403870683
11.000000,6,0.465608193195
11.000000,7,0.831866255915
11.000000,8,0.815252165089
11.000000,9,0.811792305145
11.000000,10,0.785973859575
12.000000,2,0.042074136184
12.000000,3,0.0251840728568
12.000000,4,0.0131339429425
12.000000,5,0.446519497934
12.000000,6,0.459631947057
12.000000,7,0.831123109855
12.000000,8,0.815688139661
12.000000,9,0.811524555446
12.000000,10,0.781674871364
13.000000,2,0.0409376155106
13.000000,3,0.0243537436946
13.000000,4,0.0124069038822
13.000000,5,0.436060835111
13.000000,6,0.454298426234
13.000000,7,0.830397185824
13.000000,8,0.816098236493
13.000000,9,0.81128399786
13.000000,10,0.777404634628
14.000000,2,0.0399342566357
14.000000,3,0.0236192655777
14.000000,4,0.0117764486001
14.000000,5,0.426436675462
14.000000,6,0.44950791316
14.000000,7,0.829461627512
14.000000,8,0.815983423574
14.000000,9,0.811071678542
14.000000,10,0.773473030514
15.000000,2,0.0390425443251
15.000000,3,0.0229642356778
15.000000,4,0.011224952772
15.000000,5,0.417550103059
15.000000,6,0.445180451972
15.000000,7,0.828443088682
15.000000,8,0.815889246493
15.000000,9,0.810888310529
15.000000,10,0.769836991271
16.000000,2,0.0382453583987
16.000000,3,0.0223758159807
16.000000,4,0.0107388013065
16.000000,5,0.409318760028
16.000000,6,0.441251146743
16.000000,7,0.827429156327
16.000000,8,0.815811747352
16.000000,9,0.810441905678
16.000000,10,0.766630901508
17.000000,2,0.0375289060219
17.000000,3,0.0218438137975
17.000000,4,0.0103073129161
17.000000,5,0.401672184324
17.000000,6,0.437666751574
17.000000,7,0.826420877686
17.000000,8,0.815390311192
17.000000,9,0.809806571943
17.000000,10,0.763152314941
18.000000,2,0.0368819508341
18.000000,3,0.0213600329618
18.000000,4,0.00992199284056
18.000000,5,0.394549719022
18.000000,6,0.434383154781
18.000000,7,0.82541906195
18.000000,8,0.814875909597
18.000000,9,0.80921227178
18.000000,10,0.759752614657
19.000000,2,0.0362952468988
19.000000,3,0.020917807092
19.000000,4,0.00957600261368
19.000000,5,0.38789885238
19.000000,6,0.43136348987
19.000000,7,0.824424338676
19.000000,8,0.81437850811
19.000000,9,0.808646683716
19.000000,10,0.757160844069
20.000000,2,0.0357611166763
20.000000,3,0.0205116579723
20.000000,4,0.00926377675927
20.000000,5,0.381673887164
20.000000,6,0.428576701965
20.000000,7,0.823437194349
20.000000,8,0.813734311934
20.000000,9,0.808103169027
20.000000,10,0.754496926529
21.000000,2,0.0352731320066
21.000000,3,0.0201370415952
21.000000,4,0.008980741044
21.000000,5,0.375834864563
21.000000,6,0.42599644092
21.000000,7,0.822458015176
21.000000,8,0.813028413444
21.000000,9,0.807599829011
21.000000,10,0.751818197297
22.000000,2,0.0348258699147
22.000000,3,0.0197901566948
22.000000,4,0.00872310224528
22.000000,5,0.370346687049
22.000000,6,0.423600199883
22.000000,7,0.82148706706
22.000000,8,0.812338482009
22.000000,9,0.807109194307
22.000000,10,0.749391970071
23.000000,2,0.0344147235361
23.000000,3,0.0194677985382
23.000000,4,0.00848768913726
23.000000,5,0.365178398265
23.000000,6,0.421368638103
23.000000,7,0.820524581354
23.000000,8,0.811664112912
23.000000,9,0.806661484834
23.000000,10,0.747505095889
24.000000,2,0.034035754172
24.000000,3,0.0191672459643
24.000000,4,0.00827183071383
24.000000,5,0.360302587808
24.000000,6,0.419285040418
24.000000,7,0.819570710998
24.000000,8,0.81100537931
24.000000,9,0.806216077272
24.000000,10,0.745420679031
25.000000,2,0.0336855744021
25.000000,3,0.0188861731723
25.000000,4,0.0080732618727
