alpha,rscore
0.000000,,0.931939744414 0.919940301723
0.000100,,0.886638211543 0.868435388536
0.000200,,0.845461742668 0.816287135691
0.000300,,0.81615877876 0.780023258753
0.000400,,0.794683668556 0.754003328441
0.000500,,0.778448805126 0.734785857416
0.000600,,0.765747524984 0.719837037318
0.000700,,0.755577391484 0.707995521291
0.000800,,0.747224694426 0.698370017438
0.000900,,0.740261638442 0.690430620516
0.001000,,0.734370110677 0.683780506083
0.001100,,0.729322214836 0.678137475895
0.001200,,0.724947643063 0.673307207959
0.001300,,0.721119318641 0.669133201091
0.001400,,0.717740476119 0.665493772424
0.001500,,0.714734857212 0.662283065243
0.001600,,0.712044655725 0.659442567663
0.001700,,0.709622558112 0.656915236968
0.001800,,0.707430138767 0.65465524989
0.001900,,0.70543597194 0.652625244938
0.002000,,0.703614109345 0.650794461283
0.002100,,0.701942937598 0.649137346135
0.002200,,0.70040431023 0.64763250078
0.002300,,0.69898279919 0.646261146826
0.002400,,0.69766529171 0.645007175998
0.002500,,0.696440741365 0.643859032234
0.002600,,0.695299498169 0.642805444556
0.002700,,0.694233392595 0.641836070503
0.002800,,0.693235532818 0.640941849074
0.002900,,0.692299397205 0.640115717027
0.003000,,0.691419686706 0.639350555022
0.003100,,0.690590629015 0.638642457604
0.003200,,0.689807863788 0.637986348047
0.003300,,0.689072045807 0.63737534614
0.003400,,0.688375361382 0.636808106148
0.003500,,0.687714456892 0.636281176728
0.003600,,0.687086557464 0.635791329012
0.003700,,0.686489166837 0.635335659884
0.003800,,0.685920033412 0.634911553842
0.003900,,0.685377568889 0.634515598655
0.004000,,0.684859666591 0.634146276066
0.004100,,0.684367048107 0.633797054777
0.004200,,0.683895492844 0.633471577047
0.004300,,0.683443608838 0.633168199328
0.004400,,0.683010123822 0.632885428398
0.004500,,0.682593872037 0.632621895968
0.004600,,0.682193783786 0.632376347949
0.004700,,0.681806790375 0.632148572025
0.004800,,0.681432112 0.631937386395
0.004900,,0.681071011036 0.631740670274
0.005000,,0.680722712001 0.63155753806
0.005100,,0.680386497073 0.631387171271
0.005200,,0.680061700855 0.631228812963
0.005300,,0.67974770559 0.631081760298
0.005400,,0.679443937039 0.630945360861
0.005500,,0.679149860678 0.630819007286
0.005600,,0.678864978446 0.630702136451
0.005700,,0.678588825548 0.630594221922
0.005800,,0.678320967807 0.630494772941
0.005900,,0.67806099919 0.630403331884
0.006000,,0.677808539505 0.630319469555
0.006100,,0.677563234369 0.630242923154
0.006200,,0.677324921708 0.630172711102
0.006300,,0.677093105989 0.630108897446
0.006400,,0.676867497586 0.630051211143
0.006500,,0.676647902777 0.629999190834
0.006600,,0.67643443835 0.629950510115
0.006700,,0.676226385847 0.629907130335
0.006800,,0.676023513141 0.62986878935
0.006900,,0.675825600966 0.629835242113
0.007000,,0.67563244223 0.629806256127
0.007100,,0.675443841004 0.629781613793
0.007200,,0.675259612151 0.629761105024
0.007300,,0.675079580016 0.629744536863
0.007400,,0.674903578349 0.629731723243
0.007500,,0.674731449484 0.629722488262
0.007600,,0.674562845491 0.629717196427
0.007700,,0.674397625142 0.629715561363
0.007800,,0.674235860426 0.629716994681
0.007900,,0.674077422861 0.62972135706
0.008000,,0.673922190268 0.629728514526
0.008100,,0.67377004632 0.629738340017
0.008200,,0.673620880056 0.629750714685
0.008300,,0.673474586041 0.629765521574
0.008400,,0.673331063496 0.629782652376
0.008500,,0.673190216345 0.629802002994
0.008600,,0.673051952733 0.629823475995
0.008700,,0.672916185176 0.629846975585
0.008800,,0.67278282994 0.629872412101
0.008900,,0.672651806948 0.62989970027
0.009000,,0.672523039583 0.629928759047
0.009100,,0.672396454642 0.629959509664
0.009200,,0.672271982001 0.629991877435
0.009300,,0.67214955447 0.630025791252
0.009400,,0.672029107763 0.630061182052
0.009500,,0.67191057999 0.630097986799
0.009600,,0.671793911953 0.63013614339
0.009700,,0.671679047145 0.63017558917
0.009800,,0.67156593067 0.630216271534
0.009900,,0.671454510444 0.630258133099
0.010000,,0.671344736158 0.630301122038
