alpha,poly,rscore
0.00,1,0.361060556183
0.00,2,0.677681394305
1.00,1,0.413925152154
1.00,2,0.357040885926
2.00,1,0.327731506003
2.00,2,0.361785755593
3.00,1,0.246458815307
3.00,2,0.367775718761
4.00,1,0.191403720495
4.00,2,0.372903918624
5.00,1,0.152151192853
5.00,2,0.377542711581
6.00,1,0.122754960118
6.00,2,0.381805969863
7.00,1,0.0999229366056
7.00,2,0.38530324327
8.00,1,0.0816835375065
8.00,2,0.388468538582
9.00,1,0.0666416880476
9.00,2,0.391404554064
10.00,1,0.0537753711755
10.00,2,0.393775743435
11.00,1,0.0428686761575
11.00,2,0.395977156452
12.00,1,0.0335413460421
12.00,2,0.398107420571
13.00,1,0.0254759818918
13.00,2,0.400172831554
14.00,1,0.0183370471312
14.00,2,0.402178753814
15.00,1,0.0120550740937
15.00,2,0.404129777307
16.00,1,0.00648726220112
16.00,2,0.405939444197
17.00,1,0.00152087206772
17.00,2,0.40764256122
18.00,1,-0.00293429141071
18.00,2,0.409129919275
19.00,1,-0.00695124745982
19.00,2,0.410504724297
20.00,1,-0.0106068509148
20.00,2,0.411729857735
21.00,1,-0.0139778875752
21.00,2,0.412795608015
22.00,1,-0.01706613158
22.00,2,0.413610833985
23.00,1,-0.0198940384871
23.00,2,0.414371878458
24.00,1,-0.0224916980824
24.00,2,0.415123687037
25.00,1,-0.0248847425298
25.00,2,0.415777087402
26.00,1,-0.0270951424444
26.00,2,0.416263564675
27.00,1,-0.0291418382258
27.00,2,0.416664452806
28.00,1,-0.0310412451036
28.00,2,0.416988662202
29.00,1,-0.032807660417
29.00,2,0.417308033996
30.00,1,-0.0344535945224
30.00,2,0.417622650429
31.00,1,-0.0359900415289
31.00,2,0.417932596572
32.00,1,-0.0374267022551
32.00,2,0.418237959266
33.00,1,-0.038786160606
33.00,2,0.418538826286
34.00,1,-0.0400690874549
34.00,2,0.418835285692
35.00,1,-0.0412743441674
35.00,2,0.41912742532
36.00,1,-0.0424080980864
36.00,2,0.41941533238
37.00,1,-0.0434758840017
37.00,2,0.419455856224
38.00,1,-0.0444826832069
38.00,2,0.41930125306
39.00,1,-0.0454329909863
39.00,2,0.419150113815
40.00,1,-0.0463308744617
40.00,2,0.418916883907
41.00,1,-0.0471800223676
41.00,2,0.418653773505
42.00,1,-0.0479837880395
42.00,2,0.418378607223
43.00,1,-0.0487452266708
43.00,2,0.418058447558
44.00,1,-0.0494671277106
44.00,2,0.417614976622
45.00,1,-0.0501520431263
45.00,2,0.417086770674
46.00,1,-0.050802312134
46.00,2,0.41656548472
47.00,1,-0.0514200829003
47.00,2,0.416050963325
48.00,1,-0.0520073316418
48.00,2,0.415418227181
49.00,1,-0.0525658794765
49.00,2,0.414629716102
50.00,1,-0.0530974073327
50.00,2,0.413782859
51.00,1,-0.0536034691691
51.00,2,0.412947121366
52.00,1,-0.0540855037275
52.00,2,0.412009914393
53.00,1,-0.0545448450029
53.00,2,0.411043160964
54.00,1,-0.0549827315925
54.00,2,0.410043508867
55.00,1,-0.0554003150613
55.00,2,0.408898601675
56.00,1,-0.0557986674414
56.00,2,0.407644911051
57.00,1,-0.0561787879701
57.00,2,0.406315369856
58.00,1,-0.0565416091537
58.00,2,0.404996976869
59.00,1,-0.0568880022354
59.00,2,0.403629268352
60.00,1,-0.0572187821341
60.00,2,0.402279054657
61.00,1,-0.057534711913
61.00,2,0.400867099926
62.00,1,-0.0578365068296
62.00,2,0.399345724935
63.00,1,-0.0581248380118
63.00,2,0.397761975086
64.00,1,-0.0584003358002
64.00,2,0.39619804167
65.00,1,-0.0586635927908
65.00,2,0.394653524282
66.00,1,-0.0589151666097
66.00,2,0.393128034676
67.00,1,-0.0591555824467
67.00,2,0.391621196234
68.00,1,-0.0593853353713
68.00,2,0.39013264346
69.00,1,-0.059604892454
69.00,2,0.388662021506
70.00,1,-0.0598146947097
70.00,2,0.38720898573
71.00,1,-0.0600151588827
71.00,2,0.385773201274
72.00,1,-0.0602066790858
72.00,2,0.384354342668
73.00,1,-0.0603896283096
73.00,2,0.382952093455
74.00,1,-0.0605643598117
74.00,2,0.381566145842
75.00,1,-0.0607312083982
75.00,2,0.380196200358
76.00,1,-0.0608904916064
76.00,2,0.378826255872
77.00,1,-0.0610425107982
77.00,2,0.377426021694
78.00,1,-0.0611875521709
78.00,2,0.375976553281
79.00,1,-0.0613258876936
79.00,2,0.374487466135
80.00,1,-0.0614577759751
80.00,2,0.372936735392
81.00,1,-0.0615834630689
81.00,2,0.371402943414
82.00,1,-0.0617079325472
82.00,2,0.36988580305
83.00,1,-0.06183042396
83.00,2,0.368385034051
84.00,1,-0.0619474021108
84.00,2,0.366895343479
85.00,1,-0.0620590674121
85.00,2,0.365325466683
86.00,1,-0.0621656111014
86.00,2,0.363772120478
87.00,1,-0.0622672157558
87.00,2,0.362235036672
88.00,1,-0.0623640557742
88.00,2,0.360713953172
89.00,1,-0.062456297826
89.00,2,0.359208613803
90.00,1,-0.0625441012715
90.00,2,0.357718768119
91.00,1,-0.0626276185552
91.00,2,0.35624417124
92.00,1,-0.0627069955731
92.00,2,0.354736049573
93.00,1,-0.0627823720183
93.00,2,0.353192819801
94.00,1,-0.0628538817037
94.00,2,0.351600981976
95.00,1,-0.0629216528655
95.00,2,0.350025095177
96.00,1,-0.0629858084479
96.00,2,0.348464914857
97.00,1,-0.0630464663705
97.00,2,0.346791620681
98.00,1,-0.0631037397796
98.00,2,0.345080812695
99.00,1,-0.0631577372853
99.00,2,0.34333949315
100.00,1,-0.0632085631833
100.00,2,0.341597840382
