alpha,poly,rscore
0.000000,2,0.18592693677 0.108546445576
0.000000,3,0.298867991763 0.208606499959
0.000000,4,0.301708324209 0.231049722265
0.000000,5,0.637793417111 0.579777943841
0.000000,6,0.861982511184 0.785267632921
0.000000,7,0.854126345566 0.772760648493
0.000000,8,0.836937051943 0.757150190618
0.000000,9,0.850842092217 0.776960482256
0.000000,10,0.886080271644 0.823275632994
0.010000,2,0.185921686961 0.108304668766
0.010000,3,0.298822258989 0.208048282016
0.010000,4,0.301518911867 0.225822367206
0.010000,5,0.641817307481 0.584576850588
0.010000,6,0.858662201684 0.783298772755
0.010000,7,0.851841401196 0.771758379651
0.010000,8,0.833768104456 0.755537723268
0.010000,9,0.846563346388 0.774183684625
0.010000,10,0.881295342498 0.819652076571
0.020000,2,0.18590593668 0.108058093733
0.020000,3,0.298686100487 0.20742802369
0.020000,4,0.300965636521 0.220434666931
0.020000,5,0.644850798434 0.589044407745
0.020000,6,0.854993727145 0.781115312258
0.020000,7,0.84912883556 0.770498345035
0.020000,8,0.830260598093 0.753720902028
0.020000,9,0.841998161607 0.771246146334
0.020000,10,0.876208780326 0.81586930441
0.030000,2,0.185879767255 0.10780739284
0.030000,3,0.298461035105 0.206746771609
0.030000,4,0.300069640223 0.21489839844
0.030000,5,0.647365072547 0.592914149409
0.030000,6,0.851026232247 0.778754161598
0.030000,7,0.846025629236 0.76900310321
0.030000,8,0.826450423799 0.751723685404
0.030000,9,0.837183047344 0.768173869429
0.030000,10,0.870861829455 0.811958275564
0.040000,2,0.185843157713 0.107551966703
0.040000,3,0.298148534864 0.206005542679
0.040000,4,0.298850926059 0.209225245056
0.040000,5,0.649542425984 0.59622588718
0.040000,6,0.846786989186 0.776234109231
0.040000,7,0.842564985363 0.767292504389
0.040000,8,0.822367847514 0.749565257879
0.040000,9,0.832145997224 0.764984860579
0.040000,10,0.865288533662 0.807942598436
0.050000,2,0.185795927642 0.107290878589
0.050000,3,0.297750034288 0.205205331101
0.050000,4,0.297328998801 0.203428601895
0.050000,5,0.651545277804 0.598945540191
0.050000,6,0.842297713698 0.773569261792
0.050000,7,0.838776708565 0.765384091061
0.050000,8,0.818039275864 0.747261759111
0.050000,9,0.826912098364 0.761694739331
0.050000,10,0.859522235871 0.803845304272
0.060000,2,0.185739672576 0.107031412792
0.060000,3,0.297266937956 0.204347113377
0.060000,4,0.295520613706 0.197513830918
0.060000,5,0.65327976294 0.60130432041
0.060000,6,0.837579649104 0.770773171244
0.060000,7,0.834688749532 0.763294290186
0.060000,8,0.813489004783 0.744827900321
0.060000,9,0.821504597196 0.758317797373
