alpha,poly,rscore
0.000000,2,0.18592693677 0.108546445576
0.000000,3,0.298867991763 0.208606499959
0.000000,4,0.301708324209 0.231049722265
0.000000,5,0.637793417111 0.579777943841
0.000000,6,0.861982511184 0.785267632921
0.000000,7,0.854126345566 0.772760648493
0.000000,8,0.836937051943 0.757150190618
0.000000,9,0.850842092217 0.776960482256
0.000000,10,0.886080271644 0.823275632994
1.000000,2,0.158731592667 0.0785934714159
1.000000,3,0.159012583603 0.0787113180437
1.000000,4,0.242320517227 0.105512203487
1.000000,5,0.644709294328 0.589726920912
1.000000,6,0.739017133508 0.706681957673
1.000000,7,0.752050408112 0.712561252502
1.000000,8,0.74601353505 0.699978756167
1.000000,9,0.749435107719 0.70647655163
1.000000,10,0.764301106386 0.734923307851
2.000000,2,0.158723959268 0.0783990277752
2.000000,3,0.158775468983 0.0784183299411
2.000000,4,0.239030160872 0.108161134356
2.000000,5,0.606344174762 0.541866761353
2.000000,6,0.732086896866 0.691371312676
2.000000,7,0.748028172677 0.70155767772
2.000000,8,0.737127955609 0.683311641906
2.000000,9,0.738616240608 0.686000730121
2.000000,10,0.757827438826 0.717561416298
3.000000,2,0.158711237025 0.0781998320918
3.000000,3,0.158474520585 0.0780899049265
3.000000,4,0.233561440154 0.108959710915
3.000000,5,0.55758119304 0.485216308138
3.000000,6,0.717956324786 0.670291539425
3.000000,7,0.738952307445 0.686881036429
3.000000,8,0.722251527674 0.662251065303
3.000000,9,0.720190173692 0.659756379798
3.000000,10,0.743133280707 0.693887063247
4.000000,2,0.158693426009 0.0779958844331
4.000000,3,0.157988145868 0.0776488426793
4.000000,4,0.225925581285 0.107917901372
4.000000,5,0.498663356102 0.419977300329
4.000000,6,0.696798694554 0.643590334589
4.000000,7,0.724957103463 0.66862317701
4.000000,8,0.70732300374 0.643555076176
4.000000,9,0.70164392808 0.63642902454
4.000000,10,0.725241118934 0.669896040107
5.000000,2,0.158670526292 0.077787184866
5.000000,3,0.157361891469 0.0771254909772
5.000000,4,0.216133363228 0.105045099434
5.000000,5,0.429828642937 0.34634725183
5.000000,6,0.668793524759 0.611405914274
5.000000,7,0.714124114097 0.655628233415
5.000000,8,0.687534287915 0.620960508183
5.000000,9,0.678101374697 0.60921364127
5.000000,10,0.705171157493 0.645828887496
6.000000,2,0.158642537946 0.0775737334579
6.000000,3,0.156595819337 0.0765198599828
6.000000,4,0.204194696782 0.100350108765
6.000000,5,0.351310431186 0.264519962537
6.000000,6,0.634103589524 0.57385721139
6.000000,7,0.696629090676 0.636469789688
6.000000,8,0.663565415544 0.595147848211
