alpha,poly,rscore
0.000000,2,0.108546445576
0.000000,3,0.208606499959
0.000000,4,0.231049722265
0.000000,5,0.579777943841
0.000000,6,0.785267632921
0.000000,7,0.772760648493
0.000000,8,0.757150190618
0.000000,9,0.776960482256
0.000000,10,0.823275632994
0.010000,2,0.108072952223
0.010000,3,0.207621583108
0.010000,4,0.222162732289
0.010000,5,0.588106592551
0.010000,6,0.781741002886
0.010000,7,0.770967553579
0.010000,8,0.754258170148
0.010000,9,0.772011075653
0.010000,10,0.816942737932
0.020000,2,0.107581811844
0.020000,3,0.206445801422
0.020000,4,0.21251820347
0.020000,5,0.594685152219
0.020000,6,0.777568234975
0.020000,7,0.768452191018
0.020000,8,0.750720718337
0.020000,9,0.766458263824
0.020000,10,0.80997349066
0.030000,2,0.107076334523
0.030000,3,0.205079177261
0.030000,4,0.202119585908
0.030000,5,0.599561016626
0.030000,6,0.772808880258
0.030000,7,0.765224875817
0.030000,8,0.746565071644
0.030000,9,0.76034695215
0.030000,10,0.802469854007
0.040000,2,0.106558061207
0.040000,3,0.203521699142
0.040000,4,0.190961857679
0.040000,5,0.603394369956
0.040000,6,0.767491017851
0.040000,7,0.761289799693
0.040000,8,0.741805996526
0.040000,9,0.753711361165
0.040000,10,0.794587459162
0.050000,2,0.106021170918
0.050000,3,0.201773358796
0.050000,4,0.179550782617
0.050000,5,0.606419602085
0.050000,6,0.76164752539
0.050000,7,0.756652737663
0.050000,8,0.736457739223
0.050000,9,0.746598650476
0.050000,10,0.786503012363
0.060000,2,0.105467478047
0.060000,3,0.199834137683
0.060000,4,0.167017843635
0.060000,5,0.60880703224
0.060000,6,0.755319141559
0.060000,7,0.751321514997
0.060000,8,0.730536077355
0.060000,9,0.739137657723
0.060000,10,0.778331191872
0.070000,2,0.104895737148
0.070000,3,0.197704019947
0.070000,4,0.156121737401
0.070000,5,0.6106826013
0.070000,6,0.748558826561
0.070000,7,0.745307402843
0.070000,8,0.724063061211
0.070000,9,0.731775376799
0.070000,10,0.770191017553
0.080000,2,0.104306758827
0.080000,3,0.195383010188
0.080000,4,0.155880924729
0.080000,5,0.612141163927
0.080000,6,0.741439629869
0.080000,7,0.738627491085
0.080000,8,0.717085883117
0.080000,9,0.72496680782
0.080000,10,0.76224205621
0.090000,2,0.103701228996
0.090000,3,0.192871099097
0.090000,4,0.151622682609
0.090000,5,0.61325486407
0.090000,6,0.734069949753
0.090000,7,0.731311798998
0.090000,8,0.710313497089
0.090000,9,0.719379802542
0.090000,10,0.754717023069
0.100000,2,0.103077134366
0.100000,3,0.190168287943
0.100000,4,0.140491605859
0.100000,5,0.61407608665
0.100000,6,0.726631249789
0.100000,7,0.723430395765
0.100000,8,0.70980013155
0.100000,9,0.718193714783
0.100000,10,0.748010975268
0.110000,2,0.102706901325
0.110000,3,0.187274540397
0.110000,4,0.128899988406
0.110000,5,0.614666042443
0.110000,6,0.719502475484
0.110000,7,0.718538878763
0.110000,8,0.709618880443
0.110000,9,0.717979639519
0.110000,10,0.743760440422
0.120000,2,0.102080327893
0.120000,3,0.184189866996
0.120000,4,0.116848499443
0.120000,5,0.615047989547
0.120000,6,0.714435614568
0.120000,7,0.718420286152
0.120000,8,0.709433901067
0.120000,9,0.717760893695
0.120000,10,0.743600450094
0.130000,2,0.101438495249
0.130000,3,0.180914238756
0.130000,4,0.104338527752
0.130000,5,0.615250631233
0.130000,6,0.714282227382
0.130000,7,0.71830031988
0.130000,8,0.709245287936
0.130000,9,0.717537712507
0.130000,10,0.743436970044
0.140000,2,0.100779913981
0.140000,3,0.17744764411
0.140000,4,0.102441775227
0.140000,5,0.615298806623
0.140000,6,0.714126564278
0.140000,7,0.71817896962
0.140000,8,0.709053241097
0.140000,9,0.717310263083
0.140000,10,0.743270105848
