alpha,poly,rscore
0.000000,2,0.108546445576
0.000000,3,0.208606499959
0.000000,4,0.231049722265
0.000000,5,0.579777943841
0.000000,6,0.785267632921
0.000000,7,0.772760648493
0.000000,8,0.757150190618
0.000000,9,0.776960482256
0.000000,10,0.823275632994
1.000000,2,0.0783992575346
1.000000,3,0.0784188119329
1.000000,4,0.108139602625
1.000000,5,0.544273855584
1.000000,6,0.692562257958
1.000000,7,0.70219628749
1.000000,8,0.684112391872
1.000000,9,0.686995602758
1.000000,10,0.718527194426
2.000000,2,0.0779963622512
2.000000,3,0.0776497429623
2.000000,4,0.107954990561
2.000000,5,0.424340456453
2.000000,6,0.646453490725
2.000000,7,0.669918130198
2.000000,8,0.644676598074
2.000000,9,0.637645074096
2.000000,10,0.670844220951
3.000000,2,0.0775744770966
3.000000,3,0.0765212057514
3.000000,4,0.100447747486
3.000000,5,0.268796572724
3.000000,6,0.577754800614
3.000000,7,0.637782993127
3.000000,8,0.596148808421
3.000000,9,0.577888532609
3.000000,10,0.61540900576
4.000000,2,0.0771336020707
4.000000,3,0.0750632268444
4.000000,4,0.08560148638
4.000000,5,0.0807086055465
4.000000,6,0.513649259647
4.000000,7,0.58937600592
4.000000,8,0.593638185872
4.000000,9,0.572629443867
4.000000,10,0.592534108584
5.000000,2,0.0766737371737
5.000000,3,0.0732751503352
5.000000,4,0.0745830576678
5.000000,5,0.075512717186
5.000000,6,0.447949303933
5.000000,7,0.603141966599
5.000000,8,0.594943654778
5.000000,9,0.572210854192
5.000000,10,0.592998941512
6.000000,2,0.0761948824054
6.000000,3,0.0721318497181
6.000000,4,0.0722706272781
6.000000,5,0.0697906892993
6.000000,6,0.38515402105
6.000000,7,0.609262609137
6.000000,8,0.594413863392
6.000000,9,0.570887102115
6.000000,10,0.59147368699
7.000000,2,0.0756970377659
7.000000,3,0.0721207303676
7.000000,4,0.0722416540513
7.000000,5,0.0704738564086
7.000000,6,0.385903001089
7.000000,7,0.609864840319
7.000000,8,0.593305077789
7.000000,9,0.569172335043
7.000000,10,0.589274518261
8.000000,2,0.0751802032553
8.000000,3,0.0721095977956
8.000000,4,0.0722119760543
8.000000,5,0.0711405571851
8.000000,6,0.382628421376
8.000000,7,0.608561673735
8.000000,8,0.591899420908
8.000000,9,0.567225224953
8.000000,10,0.586744850645
9.000000,2,0.0746443788734
9.000000,3,0.0720984520021
9.000000,4,0.0721815849833
9.000000,5,0.0717907951466
9.000000,6,0.379307418429
9.000000,7,0.606704402663
9.000000,8,0.590397255229
9.000000,9,0.565130388659
9.000000,10,0.584017262323
10.000000,2,0.0740895646203
10.000000,3,0.0720872929871
10.000000,4,0.0721505129883
10.000000,5,0.0721850712488
10.000000,6,0.375968004726
10.000000,7,0.604466934576
10.000000,8,0.588991684553
10.000000,9,0.563008765594
10.000000,10,0.581179545002
11.000000,2,0.0735157604959
11.000000,3,0.0720761207506
11.000000,4,0.0721187100595
11.000000,5,0.0721846167508
11.000000,6,0.372610536384
11.000000,7,0.602187504275
11.000000,8,0.587559383317
11.000000,9,0.561006364856
11.000000,10,0.578340373283
12.000000,2,0.0729229665004
12.000000,3,0.0720649352926
12.000000,4,0.0720862137598
12.000000,5,0.0727304013624
12.000000,6,0.369235375573
12.000000,7,0.599866250371
12.000000,8,0.58609610126
12.000000,9,0.559030060189
12.000000,10,0.57559401558
13.000000,2,0.0723111826337
13.000000,3,0.072053736613
13.000000,4,0.0720529567705
13.000000,5,0.07326352113
13.000000,6,0.365842905079
13.000000,7,0.597503482589
13.000000,8,0.584603270955
13.000000,9,0.557032281626
13.000000,10,0.572861343239
14.000000,2,0.0716804088958
14.000000,3,0.072042524712
14.000000,4,0.0720354209014
14.000000,5,0.0737839722475
14.000000,6,0.362433564217
14.000000,7,0.595099483776
