alpha,poly,rscore
0.000000,2,0.108546445576
0.000000,3,0.208606499959
0.000000,4,0.231051009908
0.000000,5,0.845698137526
0.000000,6,0.861980198559
0.000000,7,0.958945526866
0.000000,8,0.955408053177
0.000000,9,0.9557043433
0.000000,10,0.949727033583
1.000000,2,0.108182553334
1.000000,3,0.18058135725
1.000000,4,0.167244363739
1.000000,5,0.83593130101
1.000000,6,0.836134912883
1.000000,7,0.968293731412
1.000000,8,0.955452375591
1.000000,9,0.95561475803
1.000000,10,0.955509893792
2.000000,2,0.105624737583
2.000000,3,0.161349996042
2.000000,4,0.135895828753
2.000000,5,0.822461675178
2.000000,6,0.815368105599
2.000000,7,0.970866051168
2.000000,8,0.955528820994
2.000000,9,0.956167273219
2.000000,10,0.958718003556
3.000000,2,0.102779559593
3.000000,3,0.147837492521
3.000000,4,0.117891518383
3.000000,5,0.807204747918
3.000000,6,0.797388261418
3.000000,7,0.971774565701
3.000000,8,0.955995604665
3.000000,9,0.956822416199
3.000000,10,0.960031720829
4.000000,2,0.100132424239
4.000000,3,0.137929641368
4.000000,4,0.10652005929
4.000000,5,0.791196919018
4.000000,6,0.781662884008
4.000000,7,0.972050396516
4.000000,8,0.956676316996
4.000000,9,0.957397804292
4.000000,10,0.960208447857
5.000000,2,0.0977893578136
5.000000,3,0.130388462848
5.000000,4,0.09887380002
5.000000,5,0.775055140277
5.000000,6,0.767860091867
5.000000,7,0.972048371452
5.000000,8,0.957448919374
5.000000,9,0.957843635367
5.000000,10,0.95961522746
6.000000,2,0.0957465453522
6.000000,3,0.124471103535
6.000000,4,0.093500847811
6.000000,5,0.75914821977
6.000000,6,0.755698205744
6.000000,7,0.971912771752
6.000000,8,0.958240445227
6.000000,9,0.958146858848
6.000000,10,0.958495253472
7.000000,2,0.0939702912471
7.000000,3,0.119711536873
7.000000,4,0.0896004595745
7.000000,5,0.743692454372
7.000000,6,0.744933701336
7.000000,7,0.971707610351
7.000000,8,0.959007643007
7.000000,9,0.958317893003
7.000000,10,0.957078797288
8.000000,2,0.0924222744762
8.000000,3,0.115804616717
8.000000,4,0.0866975878203
8.000000,5,0.728808920118
8.000000,6,0.735359637522
8.000000,7,0.971462686537
8.000000,8,0.959725933057
8.000000,9,0.958367675724
8.000000,10,0.955556852913
9.000000,2,0.091067336334
9.000000,3,0.112542894996
9.000000,4,0.0844942841523
9.000000,5,0.714558779469
9.000000,6,0.726802365725
9.000000,7,0.971192106684
9.000000,8,0.960381173435
9.000000,9,0.958311586984
9.000000,10,0.954010685849
10.000000,2,0.0898753929458
10.000000,3,0.109780717969
10.000000,4,0.0827953272725
10.000000,5,0.700965449514
10.000000,6,0.719117023597
10.000000,7,0.970902479429
10.000000,8,0.96096631215
10.000000,9,0.958161897552
10.000000,10,0.952444666932
11.000000,2,0.0888213816693
11.000000,3,0.107412947842
11.000000,4,0.0814682255186
11.000000,5,0.688028717265
11.000000,6,0.712182901417
11.000000,7,0.970596726168
11.000000,8,0.96147830759
11.000000,9,0.957936632346
11.000000,10,0.950834657749
12.000000,2,0.0878846203835
12.000000,3,0.10536185837
12.000000,4,0.0804204271116
12.000000,5,0.675733822762
12.000000,6,0.70589924348
12.000000,7,0.970275941223
12.000000,8,0.961916787218
12.000000,9,0.957645395431
12.000000,10,0.949284946277
13.000000,2,0.0870480686052
13.000000,3,0.10356878388
13.000000,4,0.0795857049772
13.000000,5,0.66405734595
13.000000,6,0.700181663344
13.000000,7,0.969940342151
13.000000,8,0.962283192025
13.000000,9,0.957298032132
13.000000,10,0.947747299529
14.000000,2,0.0862976534379
14.000000,3,0.101988634326
14.000000,4,0.0789156946923
14.000000,5,0.652971035351
14.000000,6,0.694959180611
14.000000,7,0.969589761374
14.000000,8,0.962579591161
14.000000,9,0.956906532671
